Ensayo,Muestra-año,Exportador,CodigoVUCE (grupos),Cant muestras,Promedio de RESULTADO,Año,Mes
ACIDEZ (% ác. oleico),C0001-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.12,2023,enero
ACIDEZ (% ác. oleico),C0002-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.27,2023,enero
ACIDEZ (% ác. oleico),C0003-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.15,2023,enero
ACIDEZ (% ác. oleico),C0004-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.12,2023,enero
ACIDEZ (% ác. oleico),C0010-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.14,2023,enero
ACIDEZ (% ác. oleico),C0013-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.64,2023,febrero
ACIDEZ (% ác. oleico),C0014-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.41,2023,enero
ACIDEZ (% ác. oleico),C0015-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.32,2023,enero
ACIDEZ (% ác. oleico),C0016-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.26,2023,enero
ACIDEZ (% ác. oleico),C0017-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.29,2023,enero
ACIDEZ (% ác. oleico),C0025-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.13,2023,enero
ACIDEZ (% ác. oleico),C0026-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.14,2023,enero
ACIDEZ (% ác. oleico),C0027-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.16,2023,enero
ACIDEZ (% ác. oleico),C0029-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.16,2023,enero
ACIDEZ (% ác. oleico),C0030-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,enero
ACIDEZ (% ác. oleico),C0032-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,enero
ACIDEZ (% ác. oleico),C0033-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.16,2023,enero
ACIDEZ (% ác. oleico),C0034-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.16,2023,enero
ACIDEZ (% ác. oleico),C0035-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.17,2023,enero
